LIBNAME,MEMNAME,MEMLABEL,TYPEMEM,NAME,TYPE,LENGTH,VARNUM,LABEL,FORMAT,FORMATL,FORMATD,INFORMAT,INFORML,INFORMD,JUST,NPOS,NOBS,ENGINE,CRDATE,MODATE,DELOBS,IDXUSAGE,MEMTYPE,IDXCOUNT,PROTECT,FLAGS,COMPRESS,REUSE,SORTED,SORTEDBY,CHARSET,COLLATE,NODUPKEY,NODUPREC,ENCRYPT,POINTOBS,GENMAX,GENNUM,GENNEXT,TRANSCOD
UCBSTD,DEMOG,"Demographic Info from MarketScan/Medicaid I, F, S and T Files",,BIRTH_DATE,1,4,8,Patient Date of Birth,MMDDYY,10,0,,0,0,0,12,34019890,SPDE,23MAR17:17:44:51,23MAR17:17:44:51,0,NONE,DATA,1,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
UCBSTD,DEMOG,"Demographic Info from MarketScan/Medicaid I, F, S and T Files",,BIRTH_MAX,1,4,9,Max Date of Estimated Potential DOB Window,MMDDYY,10,0,,0,0,0,16,34019890,SPDE,23MAR17:17:44:51,23MAR17:17:44:51,0,NONE,DATA,1,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
UCBSTD,DEMOG,"Demographic Info from MarketScan/Medicaid I, F, S and T Files",,CASE,1,8,7,=1 if Patient with Ankylosing Spondylitis(CASE)/=0 (CONTROL),,0,0,,0,0,0,0,34019890,SPDE,23MAR17:17:44:51,23MAR17:17:44:51,0,NONE,DATA,1,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
UCBSTD,DEMOG,"Demographic Info from MarketScan/Medicaid I, F, S and T Files",,DEATH_DATE,1,4,2,Patient Date of Death,MMDDYY,10,0,,0,0,0,8,34019890,SPDE,23MAR17:17:44:51,23MAR17:17:44:51,0,NONE,DATA,1,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
UCBSTD,DEMOG,"Demographic Info from MarketScan/Medicaid I, F, S and T Files",,HISPANIC,2,2,4,"Hispanic Origin, Regardless of Race",,0,0,,0,0,0,43,34019890,SPDE,23MAR17:17:44:51,23MAR17:17:44:51,0,NONE,DATA,1,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
UCBSTD,DEMOG,"Demographic Info from MarketScan/Medicaid I, F, S and T Files",,N_BIRTH,1,3,10,Multi-DOB Indicator:1=unique;999=multiple;other=exact counts of different DOBs,,0,0,,0,0,0,49,34019890,SPDE,23MAR17:17:44:51,23MAR17:17:44:51,0,NONE,DATA,1,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
UCBSTD,DEMOG,"Demographic Info from MarketScan/Medicaid I, F, S and T Files",,N_DEATH,1,3,3,Number of Unique Death Date,,0,0,,0,0,0,40,34019890,SPDE,23MAR17:17:44:51,23MAR17:17:44:51,0,NONE,DATA,1,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
UCBSTD,DEMOG,"Demographic Info from MarketScan/Medicaid I, F, S and T Files",,PATID,2,20,1,Unique Patient Identification Number,,0,0,,0,0,0,20,34019890,SPDE,23MAR17:17:44:51,23MAR17:17:44:51,0,SIMPLE,DATA,1,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
UCBSTD,DEMOG,"Demographic Info from MarketScan/Medicaid I, F, S and T Files",,RACE,2,2,5,Patient Race,,0,0,,0,0,0,45,34019890,SPDE,23MAR17:17:44:51,23MAR17:17:44:51,0,NONE,DATA,1,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
UCBSTD,DEMOG,"Demographic Info from MarketScan/Medicaid I, F, S and T Files",,SEX,2,2,6,Administrative Sex,,0,0,,0,0,0,47,34019890,SPDE,23MAR17:17:44:51,23MAR17:17:44:51,0,NONE,DATA,1,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
UCBSTD,DX_2010,"2010 DXs from MarketScan I, F, S and O Files",,ADMIT_DATE,1,4,9,Admission Date,MMDDYY,10,0,,0,0,0,0,415599889,SPDE,01MAR17:15:39:22,01MAR17:15:39:22,0,NONE,DATA,2,---,---,BINARY,NO,1,,ANSI,,NO,YES,NO,YES,0,,,YES
UCBSTD,DX_2010,"2010 DXs from MarketScan I, F, S and O Files",,ADMIT_TYPE,2,2,10,Admit Type,,0,0,,0,0,0,83,415599889,SPDE,01MAR17:15:39:22,01MAR17:15:39:22,0,NONE,DATA,2,---,---,BINARY,NO,1,,ANSI,,NO,YES,NO,YES,0,,,YES
UCBSTD,DX_2010,"2010 DXs from MarketScan I, F, S and O Files",,BEGIN_DATE,1,4,13,Beginning Date of Service,MMDDYY,10,0,,0,0,0,8,415599889,SPDE,01MAR17:15:39:22,01MAR17:15:39:22,0,SIMPLE,DATA,2,---,---,BINARY,NO,1,2,ANSI,,NO,YES,NO,YES,0,,,YES
UCBSTD,DX_2010,"2010 DXs from MarketScan I, F, S and O Files",,DISCHARGE_DATE,1,4,11,Discharge Date,MMDDYY,10,0,,0,0,0,4,415599889,SPDE,01MAR17:15:39:22,01MAR17:15:39:22,0,NONE,DATA,2,---,---,BINARY,NO,1,,ANSI,,NO,YES,NO,YES,0,,,YES
UCBSTD,DX_2010,"2010 DXs from MarketScan I, F, S and O Files",,DISCHARGE_STATUS,2,2,12,Discharge Status,,0,0,,0,0,0,85,415599889,SPDE,01MAR17:15:39:22,01MAR17:15:39:22,0,NONE,DATA,2,---,---,BINARY,NO,1,,ANSI,,NO,YES,NO,YES,0,,,YES
UCBSTD,DX_2010,"2010 DXs from MarketScan I, F, S and O Files",,DRG,2,3,16,Diagnosis Related Group,,0,0,,0,0,0,92,415599889,SPDE,01MAR17:15:39:22,01MAR17:15:39:22,0,NONE,DATA,2,---,---,BINARY,NO,1,12,ANSI,,NO,YES,NO,YES,0,,,YES
UCBSTD,DX_2010,"2010 DXs from MarketScan I, F, S and O Files",,DRG_TYPE,2,2,17,DRG Type,,0,0,,0,0,0,95,415599889,SPDE,01MAR17:15:39:22,01MAR17:15:39:22,0,NONE,DATA,2,---,---,BINARY,NO,1,13,ANSI,,NO,YES,NO,YES,0,,,YES
UCBSTD,DX_2010,"2010 DXs from MarketScan I, F, S and O Files",,DX,2,7,18,Diagnosis Code,,0,0,,0,0,0,97,415599889,SPDE,01MAR17:15:39:22,01MAR17:15:39:22,0,NONE,DATA,2,---,---,BINARY,NO,1,5,ANSI,,NO,YES,NO,YES,0,,,YES
UCBSTD,DX_2010,"2010 DXs from MarketScan I, F, S and O Files",,DX_TYPE,2,2,19,Diagnosis Code Type,,0,0,,0,0,0,104,415599889,SPDE,01MAR17:15:39:22,01MAR17:15:39:22,0,NONE,DATA,2,---,---,BINARY,NO,1,,ANSI,,NO,YES,NO,YES,0,,,YES
UCBSTD,DX_2010,"2010 DXs from MarketScan I, F, S and O Files",,ENCOUNTERID,2,15,2,Encounter ID,,0,0,,0,0,0,36,415599889,SPDE,01MAR17:15:39:22,01MAR17:15:39:22,0,NONE,DATA,2,---,---,BINARY,NO,1,6,ANSI,,NO,YES,NO,YES,0,,,YES
UCBSTD,DX_2010,"2010 DXs from MarketScan I, F, S and O Files",,ENC_TYPE,2,2,3,Encounter Type,,0,0,,0,0,0,51,415599889,SPDE,01MAR17:15:39:22,01MAR17:15:39:22,0,NONE,DATA,2,---,---,BINARY,NO,1,7,ANSI,,NO,YES,NO,YES,0,,,YES
UCBSTD,DX_2010,"2010 DXs from MarketScan I, F, S and O Files",,END_DATE,1,4,14,Ending Date of Service,MMDDYY,10,0,,0,0,0,12,415599889,SPDE,01MAR17:15:39:22,01MAR17:15:39:22,0,NONE,DATA,2,---,---,BINARY,NO,1,3,ANSI,,NO,YES,NO,YES,0,,,YES
UCBSTD,DX_2010,"2010 DXs from MarketScan I, F, S and O Files",,FACILITY_ID,2,10,7,Facility ID,,0,0,,0,0,0,70,415599889,SPDE,01MAR17:15:39:22,01MAR17:15:39:22,0,NONE,DATA,2,---,---,BINARY,NO,1,10,ANSI,,NO,YES,NO,YES,0,,,YES
UCBSTD,DX_2010,"2010 DXs from MarketScan I, F, S and O Files",,FACILITY_TYPE,2,3,8,Place of Service,,0,0,,0,0,0,80,415599889,SPDE,01MAR17:15:39:22,01MAR17:15:39:22,0,NONE,DATA,2,---,---,BINARY,NO,1,11,ANSI,,NO,YES,NO,YES,0,,,YES
UCBSTD,DX_2010,"2010 DXs from MarketScan I, F, S and O Files",,PATID,2,20,1,Unique Patient Identification Number,,0,0,,0,0,0,16,415599889,SPDE,01MAR17:15:39:22,01MAR17:15:39:22,0,SIMPLE,DATA,2,---,---,BINARY,NO,1,1,ANSI,,NO,YES,NO,YES,0,,,YES
UCBSTD,DX_2010,"2010 DXs from MarketScan I, F, S and O Files",,PDX,2,1,20,Primary Diagnosis,,0,0,,0,0,0,106,415599889,SPDE,01MAR17:15:39:22,01MAR17:15:39:22,0,NONE,DATA,2,---,---,BINARY,NO,1,-4,ANSI,,NO,YES,NO,YES,0,,,YES
UCBSTD,DX_2010,"2010 DXs from MarketScan I, F, S and O Files",,POA,2,1,21,Present on Admission (POA),,0,0,,0,0,0,107,415599889,SPDE,01MAR17:15:39:22,01MAR17:15:39:22,0,NONE,DATA,2,---,---,BINARY,NO,1,14,ANSI,,NO,YES,NO,YES,0,,,YES
UCBSTD,DX_2010,"2010 DXs from MarketScan I, F, S and O Files",,PROV_ID,2,10,4,Provider ID,,0,0,,0,0,0,53,415599889,SPDE,01MAR17:15:39:22,01MAR17:15:39:22,0,NONE,DATA,2,---,---,BINARY,NO,1,8,ANSI,,NO,YES,NO,YES,0,,,YES
UCBSTD,DX_2010,"2010 DXs from MarketScan I, F, S and O Files",,PROV_ID_TYPE,2,4,5,Provider ID Type,,0,0,,0,0,0,63,415599889,SPDE,01MAR17:15:39:22,01MAR17:15:39:22,0,NONE,DATA,2,---,---,BINARY,NO,1,9,ANSI,,NO,YES,NO,YES,0,,,YES
UCBSTD,DX_2010,"2010 DXs from MarketScan I, F, S and O Files",,PROV_TYPE,2,3,6,Provider Type,,0,0,,0,0,0,67,415599889,SPDE,01MAR17:15:39:22,01MAR17:15:39:22,0,NONE,DATA,2,---,---,BINARY,NO,1,,ANSI,,NO,YES,NO,YES,0,,,YES
UCBSTD,DX_2010,"2010 DXs from MarketScan I, F, S and O Files",,SOURCE,2,5,15,Data Source from the Original File,,0,0,,0,0,0,87,415599889,SPDE,01MAR17:15:39:22,01MAR17:15:39:22,0,NONE,DATA,2,---,---,BINARY,NO,1,15,ANSI,,NO,YES,NO,YES,0,,,YES
UCBSTD,DX_2011,"2011 DXs from MarketScan I, F, S and O Files",,ADMIT_DATE,1,4,9,Admission Date,MMDDYY,10,0,,0,0,0,0,535404232,SPDE,01MAR17:16:02:29,01MAR17:16:02:29,0,NONE,DATA,2,---,---,BINARY,NO,1,,ANSI,,NO,YES,NO,YES,0,,,YES
UCBSTD,DX_2011,"2011 DXs from MarketScan I, F, S and O Files",,ADMIT_TYPE,2,2,10,Admit Type,,0,0,,0,0,0,83,535404232,SPDE,01MAR17:16:02:29,01MAR17:16:02:29,0,NONE,DATA,2,---,---,BINARY,NO,1,,ANSI,,NO,YES,NO,YES,0,,,YES
UCBSTD,DX_2011,"2011 DXs from MarketScan I, F, S and O Files",,BEGIN_DATE,1,4,13,Beginning Date of Service,MMDDYY,10,0,,0,0,0,8,535404232,SPDE,01MAR17:16:02:29,01MAR17:16:02:29,0,SIMPLE,DATA,2,---,---,BINARY,NO,1,2,ANSI,,NO,YES,NO,YES,0,,,YES
UCBSTD,DX_2011,"2011 DXs from MarketScan I, F, S and O Files",,DISCHARGE_DATE,1,4,11,Discharge Date,MMDDYY,10,0,,0,0,0,4,535404232,SPDE,01MAR17:16:02:29,01MAR17:16:02:29,0,NONE,DATA,2,---,---,BINARY,NO,1,,ANSI,,NO,YES,NO,YES,0,,,YES
UCBSTD,DX_2011,"2011 DXs from MarketScan I, F, S and O Files",,DISCHARGE_STATUS,2,2,12,Discharge Status,,0,0,,0,0,0,85,535404232,SPDE,01MAR17:16:02:29,01MAR17:16:02:29,0,NONE,DATA,2,---,---,BINARY,NO,1,,ANSI,,NO,YES,NO,YES,0,,,YES
