LIBNAME,MEMNAME,MEMLABEL,TYPEMEM,NAME,TYPE,LENGTH,VARNUM,LABEL,FORMAT,FORMATL,FORMATD,INFORMAT,INFORML,INFORMD,JUST,NPOS,NOBS,ENGINE,CRDATE,MODATE,DELOBS,IDXUSAGE,MEMTYPE,IDXCOUNT,PROTECT,FLAGS,COMPRESS,REUSE,SORTED,SORTEDBY,CHARSET,COLLATE,NODUPKEY,NODUPREC,ENCRYPT,POINTOBS,GENMAX,GENNUM,GENNEXT,TRANSCOD
STD_SABR,ENROLL_ABCD_WIDE,,,BIRTH_DATE,1,4,2,,MMDDYY,10,0,,0,0,0,0,5064254,SPDE,17MAY17:13:12:47,17MAY17:13:12:47,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
STD_SABR,ENROLL_ABCD_WIDE,,,DEATH_DATE,1,4,3,,MMDDYY,10,0,,0,0,0,4,5064254,SPDE,17MAY17:13:12:47,17MAY17:13:12:47,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
STD_SABR,ENROLL_ABCD_WIDE,,,PATID,2,20,1,,,0,0,,0,0,0,8,5064254,SPDE,17MAY17:13:12:47,17MAY17:13:12:47,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
STD_SABR,ENROLL_ABCD_WIDE,,,SOURCE,2,5,4,,,0,0,,0,0,0,28,5064254,SPDE,17MAY17:13:12:47,17MAY17:13:12:47,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
STD_SABR,ENROLL_ABCD_WIDE,,,dualeligible,2,108,6,,,0,0,,0,0,0,141,5064254,SPDE,17MAY17:13:12:47,17MAY17:13:12:47,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
STD_SABR,ENROLL_ABCD_WIDE,,,enroll_abc,2,108,5,,,0,0,,0,0,0,33,5064254,SPDE,17MAY17:13:12:47,17MAY17:13:12:47,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
STD_SABR,ENROLL_ABCD_WIDE,,,enroll_abcd,2,108,8,,,0,0,,0,0,0,357,5064254,SPDE,17MAY17:13:12:47,17MAY17:13:12:47,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
STD_SABR,ENROLL_ABCD_WIDE,,,enroll_d,2,108,7,,,0,0,,0,0,0,249,5064254,SPDE,17MAY17:13:12:47,17MAY17:13:12:47,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
STD_SABR,NONSPECIFIC_JCODE_BIOLOGIC,,,GNN,2,30,4,Generic Name,,0,0,,0,0,0,48,38029,SPDE,22FEB17:23:31:13,22FEB17:23:31:13,0,NONE,DATA,0,---,---,CHAR,NO,,,,,NO,NO,NO,YES,0,,,YES
STD_SABR,NONSPECIFIC_JCODE_BIOLOGIC,,,NDC,2,11,3,,,0,0,,0,0,0,37,38029,SPDE,22FEB17:23:31:13,22FEB17:23:31:13,0,NONE,DATA,0,---,---,CHAR,NO,,,,,NO,NO,NO,YES,0,,,YES
