LIBNAME,MEMNAME,MEMLABEL,TYPEMEM,NAME,TYPE,LENGTH,VARNUM,LABEL,FORMAT,FORMATL,FORMATD,INFORMAT,INFORML,INFORMD,JUST,NPOS,NOBS,ENGINE,CRDATE,MODATE,DELOBS,IDXUSAGE,MEMTYPE,IDXCOUNT,PROTECT,FLAGS,COMPRESS,REUSE,SORTED,SORTEDBY,CHARSET,COLLATE,NODUPKEY,NODUPREC,ENCRYPT,POINTOBS,GENMAX,GENNUM,GENNEXT,TRANSCOD
STDC5P,STD_DEMOG_2006_2014,,,BIRTH_DATE,1,4,3,,MMDDYY,10,0,,0,0,0,0,3984522,SPDE,19APR17:15:57:14,19APR17:15:57:14,0,NONE,DATA,1,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
STDC5P,STD_DEMOG_2006_2014,,,DEATH_DATE,1,4,4,,MMDDYY,10,0,,0,0,0,4,3984522,SPDE,19APR17:15:57:14,19APR17:15:57:14,0,NONE,DATA,1,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
STDC5P,STD_DEMOG_2006_2014,,,HISPANIC,2,2,6,,,0,0,,0,0,0,32,3984522,SPDE,19APR17:15:57:14,19APR17:15:57:14,0,NONE,DATA,1,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
STDC5P,STD_DEMOG_2006_2014,,,PATID,2,20,1,Unique Patient Identification Number,,0,0,,0,0,0,8,3984522,SPDE,19APR17:15:57:14,19APR17:15:57:14,0,SIMPLE,DATA,1,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
STDC5P,STD_DEMOG_2006_2014,,,RACE,2,2,5,,,0,0,,0,0,0,30,3984522,SPDE,19APR17:15:57:14,19APR17:15:57:14,0,NONE,DATA,1,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
STDC5P,STD_DEMOG_2006_2014,,,SEX,2,2,2,,,0,0,,0,0,0,28,3984522,SPDE,19APR17:15:57:14,19APR17:15:57:14,0,NONE,DATA,1,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
STDC5P,STD_DEMOG_2006_2014,,,n_birth,1,3,8,,,0,0,,0,0,0,37,3984522,SPDE,19APR17:15:57:14,19APR17:15:57:14,0,NONE,DATA,1,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
STDC5P,STD_DEMOG_2006_2014,,,n_death,1,3,9,,,0,0,,0,0,0,40,3984522,SPDE,19APR17:15:57:14,19APR17:15:57:14,0,NONE,DATA,1,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
STDC5P,STD_DEMOG_2006_2014,,,n_gender,1,3,7,,,0,0,,0,0,0,34,3984522,SPDE,19APR17:15:57:14,19APR17:15:57:14,0,NONE,DATA,1,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
STDC5P,STD_DX_2006,,,ADMIT_DATE,1,4,8,,MMDDYY,10,0,,0,0,0,0,191443323,SPDE,30MAR17:11:21:37,30MAR17:11:21:37,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
STDC5P,STD_DX_2006,,,ADMIT_TYPE,2,1,18,,,0,0,,0,0,0,112,191443323,SPDE,30MAR17:11:21:37,30MAR17:11:21:37,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
STDC5P,STD_DX_2006,,,BEGIN_DATE,1,4,10,,MMDDYY,10,0,,0,0,0,8,191443323,SPDE,30MAR17:11:21:37,30MAR17:11:21:37,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
STDC5P,STD_DX_2006,,,DISCHARGE_DATE,1,4,9,,MMDDYY,10,0,,0,0,0,4,191443323,SPDE,30MAR17:11:21:37,30MAR17:11:21:37,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
STDC5P,STD_DX_2006,,,DISCHARGE_STATUS,2,2,15,,,0,0,,0,0,0,103,191443323,SPDE,30MAR17:11:21:37,30MAR17:11:21:37,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
STDC5P,STD_DX_2006,,,DX,2,18,12,,,0,0,,0,0,0,81,191443323,SPDE,30MAR17:11:21:37,30MAR17:11:21:37,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
STDC5P,STD_DX_2006,,,DX_TYPE,2,2,13,,,0,0,,0,0,0,99,191443323,SPDE,30MAR17:11:21:37,30MAR17:11:21:37,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
STDC5P,STD_DX_2006,,,ENCOUNTERID,2,15,2,,,0,0,,0,0,0,36,191443323,SPDE,30MAR17:11:21:37,30MAR17:11:21:37,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
STDC5P,STD_DX_2006,,,ENC_TYPE,2,2,17,,$,2,0,,0,0,0,110,191443323,SPDE,30MAR17:11:21:37,30MAR17:11:21:37,0,NONE,DATA,0,---,---,BINARY,NO,,,,,NO,NO,NO,YES,0,,,YES
