"type","outcomeCategory","disease","MPCD TNF","MPCD DMARD","MPCD NSAID","MPCD No exposure","Marketscan TNF","Marketscan DMARD","Marketscan NSAID","Marketscan No exposure","Medicare TNF","Medicare DMARD","Medicare NSAID","Medicare No exposure"
"Comorbidity","Cancer","Hematologic Cancer","0.00 (0.00-0.55)","0.00 (0.00-1.98)","0.00 (0.00-1.78)","0.56 (0.00-1.10)","0.12 (0.03-0.30)","0.68 (0.22-1.58)","0.50 (0.16-1.17)","0.57 (0.03-0.88)","0.68 (0.22-1.59)","0.75 (0.34-1.41)","0.64 (0.34-1.10)","0.76 (0.22-0.91)"
"Comorbidity","Cancer","Non Melanoma Skin Cancer","1.18 (0.51-2.33)","1.07 (0.13-3.88)","0.48 (0.01-2.69)","1.18 (0.51-1.89)","0.80 (0.53-1.16)","0.80 (0.29-1.75)","0.30 (0.06-0.87)","1.00 (0.53-1.39)","3.93 (2.63-5.64)","3.19 (2.27-4.37)","3.91 (3.10-4.86)","3.02 (2.63-3.31)"
"Comorbidity","Cancer","Solid Cancer","1.21 (0.52-2.39)","3.95 (1.59-8.14)","1.99 (0.54-5.10)","4.80 (0.52-6.11)","1.46 (1.07-1.93)","2.93 (1.81-4.48)","2.17 (1.34-3.32)","3.28 (1.07-3.93)","5.80 (4.10-7.96)","6.81 (5.32-8.59)","4.95 (3.96-6.11)","6.52 (4.10-6.97)"
"Comorbidity","Cardiac disease","Aortic Insufficiency/Aortic Regurgitation","0.60 (0.16-1.53)","0.54 (0.01-3.00)","0.98 (0.12-3.55)","1.49 (0.16-2.28)","0.66 (0.41-1.00)","0.41 (0.08-1.18)","0.50 (0.16-1.18)","1.02 (0.41-1.41)","3.48 (2.23-5.18)","3.44 (2.45-4.70)","3.08 (2.34-3.98)","3.93 (2.23-4.27)"
"Comorbidity","Cardiac disease","Conduction Block","0.00 (0.00-0.55)","0.00 (0.00-1.98)","0.98 (0.12-3.54)","0.98 (0.00-1.65)","0.48 (0.27-0.78)","0.41 (0.08-1.19)","0.91 (0.41-1.72)","1.18 (0.27-1.59)","2.75 (1.65-4.29)","3.55 (2.55-4.82)","2.65 (1.98-3.49)","3.16 (1.65-3.46)"
"Comorbidity","Cardiac disease","Myocardial infarction","0.00 (0.00-0.55)","0.00 (0.00-1.98)","0.00 (0.00-1.78)","0.07 (0.00-0.39)","0.18 (0.07-0.39)","0.13 (0.00-0.75)","0.10 (0.00-0.56)","0.35 (0.07-0.61)","1.37 (0.66-2.52)","2.03 (1.30-3.03)","1.60 (1.09-2.25)","1.17 (0.66-1.36)"
"Comorbidity","Infection","Hospitalized infection","2.22 (1.24-3.66)","2.15 (0.58-5.50)","1.93 (0.53-4.95)","3.89 (1.24-5.05)","5.16 (4.42-5.99)","4.42 (3.04-6.20)","6.38 (4.91-8.14)","5.05 (4.42-5.83)","14.48 (11.87-17.50)","15.39 (13.27-17.76)","19.72 (17.85-21.74)","8.70 (11.87-9.18)"
"Comorbidity","Infection","Opportunistic infection","1.20 (0.52-2.36)","1.63 (0.34-4.77)","0.49 (0.01-2.74)","0.56 (0.52-1.10)","1.26 (0.91-1.71)","1.21 (0.55-2.30)","1.85 (1.10-2.93)","1.04 (0.91-1.43)","3.07 (1.90-4.69)","4.00 (2.90-5.36)","3.37 (2.55-4.38)","2.08 (1.90-2.32)"
"Comorbidity","Kidney disease","Amyloidosis","0.00 (0.00-0.55)","0.00 (0.00-1.98)","0.00 (0.00-1.78)","0.21 (0.00-0.61)","0.03 (0.00-0.17)","0.00 (0.00-0.49)","0.00 (0.00-0.37)","0.00 (0.00-0.10)","0.00 (0.00-0.50)","0.00 (0.00-0.30)","0.05 (0.00-0.27)","0.03 (0.00-0.08)"
"Comorbidity","Kidney disease","IgA nephropathy","0.30 (0.04-1.08)","0.00 (0.00-1.98)","0.48 (0.01-2.70)","0.00 (0.04-0.26)","0.09 (0.02-0.26)","0.00 (0.00-0.49)","0.00 (0.00-0.37)","0.11 (0.02-0.28)","0.14 (0.00-0.76)","0.00 (0.00-0.30)","0.05 (0.00-0.27)","0.06 (0.00-0.11)"
