GCN_SEQNO,ETC_NAME,NDC,BN,LN,LN25,LN60,GNN,GNN60,Package_Description,TRADENAME,STR,STR60,RT,GCRT_DESC,ETC_ID,ETC_HIERARCHY_LEVEL,ETC_ULTIMATE_PARENT_ETC_ID,ETC_PARENT_ETC_ID,ETC_ULTIMATE_CHILD_IND,GCN,GCRT,HICL_SEQNO,HIC3,HIC3_SEQN,TC,prednisoneMultiplier,prednisodeEquivalentDose,category,subcategory
210,Asthma Therapy - Glucocorticoids,00173031298,BECLOVENT,BECLOVENT INHALER REFILL,,BECLOVENT INHALER REFILL,BECLOMETHASONE DIPROPIONATE,BECLOMETHASONE DIPROPIONATE,CANISTER,,42MCG,42 mcg,INHALATION,INHALATION,371,3,2709,363,1,950,H,70,B6M,14157,51,,,,
210,Asthma Therapy - Glucocorticoids,00173036098,BECLOVENT/BECONASE,BECLOVENT/BECONASE INHALER,,BECLOVENT/BECONASE INHALER,BECLOMETHASONE DIPROPIONATE,BECLOMETHASONE DIPROPIONATE,CANISTER,,42MCG,42 mcg,INHALATION,INHALATION,371,3,2709,363,1,950,H,70,B6M,14157,51,,,,
210,Asthma Therapy - Glucocorticoids,54569101600,BECLOVENT,BECLOVENT INHALER,,BECLOVENT INHALER,BECLOMETHASONE DIPROPIONATE,BECLOMETHASONE DIPROPIONATE,CANISTER,,42MCG,42 mcg,INHALATION,INHALATION,371,3,2709,363,1,950,H,70,B6M,14157,51,,,,
211,Asthma Therapy - Glucocorticoids,00085073604,VANCERIL,VANCERIL INHALER,,VANCERIL INHALER,BECLOMETHASONE DIPROPIONATE,BECLOMETHASONE DIPROPIONATE,AER W/ADAP,,42MCG,42 mcg,INHALATION,INHALATION,371,3,2709,363,1,950,H,70,B6M,14157,51,,,,
211,Asthma Therapy - Glucocorticoids,00173031288,BECLOVENT,BECLOVENT INHALER,,BECLOVENT INHALER,BECLOMETHASONE DIPROPIONATE,BECLOMETHASONE DIPROPIONATE,AER W/ADAP,,42MCG,42 mcg,INHALATION,INHALATION,371,3,2709,363,1,950,H,70,B6M,14157,51,,,,
211,Asthma Therapy - Glucocorticoids,00173046900,BECLOVENT,BECLOVENT INHALER,,BECLOVENT INHALER,BECLOMETHASONE DIPROPIONATE,BECLOMETHASONE DIPROPIONATE,AER W/ADAP,,42MCG,42 mcg,INHALATION,INHALATION,371,3,2709,363,1,950,H,70,B6M,14157,51,,,,
211,Asthma Therapy - Glucocorticoids,52959059601,VANCERIL,VANCERIL INHALER,,VANCERIL INHALER,BECLOMETHASONE DIPROPIONATE,BECLOMETHASONE DIPROPIONATE,AER W/ADAP,,42MCG,42 mcg,INHALATION,INHALATION,371,3,2709,363,1,950,H,70,B6M,14157,51,,,,
211,Asthma Therapy - Glucocorticoids,52959144701,VANCERIL,VANCERIL INHALER,,VANCERIL INHALER,BECLOMETHASONE DIPROPIONATE,BECLOMETHASONE DIPROPIONATE,AER W/ADAP,,42MCG,42 mcg,INHALATION,INHALATION,371,3,2709,363,1,950,H,70,B6M,14157,51,,,,
211,Asthma Therapy - Glucocorticoids,53002095864,VANCERIL,VANCERIL INHALER,,VANCERIL INHALER,BECLOMETHASONE DIPROPIONATE,BECLOMETHASONE DIPROPIONATE,AER W/ADAP,,42MCG,42 mcg,INHALATION,INHALATION,371,3,2709,363,1,950,H,70,B6M,14157,51,,,,
211,Asthma Therapy - Glucocorticoids,54569006700,VANCERIL,VANCERIL INHALER,,VANCERIL INHALER,BECLOMETHASONE DIPROPIONATE,BECLOMETHASONE DIPROPIONATE,AER W/ADAP,,42MCG,42 mcg,INHALATION,INHALATION,371,3,2709,363,1,950,H,70,B6M,14157,51,,,,
211,Asthma Therapy - Glucocorticoids,54569100400,BECLOVENT,BECLOVENT INHALER,,BECLOVENT INHALER,BECLOMETHASONE DIPROPIONATE,BECLOMETHASONE DIPROPIONATE,AER W/ADAP,,42MCG,42 mcg,INHALATION,INHALATION,371,3,2709,363,1,950,H,70,B6M,14157,51,,,,
211,Asthma Therapy - Glucocorticoids,54868126901,BECLOVENT,BECLOVENT INHALER,,BECLOVENT INHALER,BECLOMETHASONE DIPROPIONATE,BECLOMETHASONE DIPROPIONATE,AER W/ADAP,BECLOVENT INHALATION AEROSOL,42MCG,42 mcg,INHALATION,INHALATION,371,3,2709,363,1,950,H,70,B6M,14157,51,,,,
211,Asthma Therapy - Glucocorticoids,54868184101,VANCERIL,VANCERIL INHALER,,VANCERIL INHALER,BECLOMETHASONE DIPROPIONATE,BECLOMETHASONE DIPROPIONATE,AER W/ADAP,,42MCG,42 mcg,INHALATION,INHALATION,371,3,2709,363,1,950,H,70,B6M,14157,51,,,,
211,Asthma Therapy - Glucocorticoids,55175443501,VANCERIL,VANCERIL INHALER,,VANCERIL INHALER,BECLOMETHASONE DIPROPIONATE,BECLOMETHASONE DIPROPIONATE,AER W/ADAP,,42MCG,42 mcg,INHALATION,INHALATION,371,3,2709,363,1,950,H,70,B6M,14157,51,,,,
211,Asthma Therapy - Glucocorticoids,55175446501,BECLOVENT,BECLOVENT INHALER,,BECLOVENT INHALER,BECLOMETHASONE DIPROPIONATE,BECLOMETHASONE DIPROPIONATE,AER W/ADAP,,42MCG,42 mcg,INHALATION,INHALATION,371,3,2709,363,1,950,H,70,B6M,14157,51,,,,
211,Asthma Therapy - Glucocorticoids,55175446601,BECLOVENT,BECLOVENT INHALER,,BECLOVENT INHALER,BECLOMETHASONE DIPROPIONATE,BECLOMETHASONE DIPROPIONATE,AER W/ADAP,,42MCG,42 mcg,INHALATION,INHALATION,371,3,2709,363,1,950,H,70,B6M,14157,51,,,,
211,Asthma Therapy - Glucocorticoids,58016620700,BECLOVENT,BECLOVENT INHALER,,BECLOVENT INHALER,BECLOMETHASONE DIPROPIONATE,BECLOMETHASONE DIPROPIONATE,AER W/ADAP,,42MCG,42 mcg,INHALATION,INHALATION,371,3,2709,363,1,950,H,70,B6M,14157,51,,,,
211,Asthma Therapy - Glucocorticoids,58016620701,BECLOVENT,BECLOVENT INHALER,,BECLOVENT INHALER,BECLOMETHASONE DIPROPIONATE,BECLOMETHASONE DIPROPIONATE,AER W/ADAP,,42MCG,42 mcg,INHALATION,INHALATION,371,3,2709,363,1,950,H,70,B6M,14157,51,,,,
212,Asthma Therapy - Glucocorticoids,00067006037,AZMACORT,AZMACORT INHALER,,AZMACORT INHALER,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,AER W/ADAP,,100 MCG,100 mcg/actuation,INHALATION,INHALATION,371,3,2709,363,1,1210,H,2891,B6M,14157,51,,,,
212,Asthma Therapy - Glucocorticoids,00075006037,AZMACORT,AZMACORT INHALER,,AZMACORT INHALER,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,AER W/ADAP,AZMACORT AEROSOL SPRAY,100 MCG,100 mcg/actuation,INHALATION,INHALATION,371,3,2709,363,1,1210,H,2891,B6M,14157,51,,,,
212,Asthma Therapy - Glucocorticoids,52959137503,AZMACORT,AZMACORT INHALER,,AZMACORT INHALER,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,AER W/ADAP,,100 MCG,100 mcg/actuation,INHALATION,INHALATION,371,3,2709,363,1,1210,H,2891,B6M,14157,51,,,,
212,Asthma Therapy - Glucocorticoids,55175275301,AZMACORT,AZMACORT INHALER,,AZMACORT INHALER,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,AER W/ADAP,,100 MCG,100 mcg/actuation,INHALATION,INHALATION,371,3,2709,363,1,1210,H,2891,B6M,14157,51,,,,
212,Asthma Therapy - Glucocorticoids,55887072620,AZMACORT,AZMACORT INHALER,,AZMACORT INHALER,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,AER W/ADAP,,100 MCG,100 mcg/actuation,INHALATION,INHALATION,371,3,2709,363,1,1210,H,2891,B6M,14157,51,,,,
213,Asthma Therapy - Glucocorticoids,00085300701,AEROBID,AEROBID AEROSOL W/ADAPT,,AEROBID AEROSOL W/ADAPT,FLUNISOLIDE,FLUNISOLIDE,AER W/ADAP,,250 MCG,250 mcg,INHALATION,INHALATION,371,3,2709,363,1,840,H,72,B6M,14157,51,,,,
213,Asthma Therapy - Glucocorticoids,00369300701,AEROBID,AEROBID AEROSOL W/ADAPT,,AEROBID AEROSOL W/ADAPT,FLUNISOLIDE,FLUNISOLIDE,AER W/ADAP,,250 MCG,250 mcg,INHALATION,INHALATION,371,3,2709,363,1,840,H,72,B6M,14157,51,,,,
213,Asthma Therapy - Glucocorticoids,00456067299,AEROBID,AEROBID AEROSOL WITH ADAPTER,,AEROBID AEROSOL WITH ADAPTER,FLUNISOLIDE,FLUNISOLIDE,AER W/ADAP,AEROBID,250 MCG,250 mcg,INHALATION,INHALATION,371,3,2709,363,1,840,H,72,B6M,14157,51,,,,
213,Asthma Therapy - Glucocorticoids,52959013100,AEROBID,AEROBID AEROSOL WITH ADAPTER,,AEROBID AEROSOL WITH ADAPTER,FLUNISOLIDE,FLUNISOLIDE,AER W/ADAP,,250 MCG,250 mcg,INHALATION,INHALATION,371,3,2709,363,1,840,H,72,B6M,14157,51,,,,
213,Asthma Therapy - Glucocorticoids,52959119800,AEROBID,AEROBID AEROSOL W/ADAPTER,,AEROBID AEROSOL W/ADAPTER,FLUNISOLIDE,FLUNISOLIDE,AER W/ADAP,,250 MCG,250 mcg,INHALATION,INHALATION,371,3,2709,363,1,840,H,72,B6M,14157,51,,,,
213,Asthma Therapy - Glucocorticoids,54569101300,AEROBID,AEROBID AEROSOL W/ADAPTER,,AEROBID AEROSOL W/ADAPTER,FLUNISOLIDE,FLUNISOLIDE,AER W/ADAP,,250 MCG,250 mcg,INHALATION,INHALATION,371,3,2709,363,1,840,H,72,B6M,14157,51,,,,
213,Asthma Therapy - Glucocorticoids,54868188301,AEROBID,AEROBID AEROSOL WITH ADAPTER,,AEROBID AEROSOL WITH ADAPTER,FLUNISOLIDE,FLUNISOLIDE,AER W/ADAP,AEROBID,250 MCG,250 mcg,INHALATION,INHALATION,371,3,2709,363,1,840,H,72,B6M,14157,51,,,,
213,Asthma Therapy - Glucocorticoids,55045186803,AEROBID,AEROBID AEROSOL WITH ADAPTER,,AEROBID AEROSOL WITH ADAPTER,FLUNISOLIDE,FLUNISOLIDE,AER W/ADAP,AEROBID INHALER,250 MCG,250 mcg,INHALATION,INHALATION,371,3,2709,363,1,840,H,72,B6M,14157,51,,,,
213,Asthma Therapy - Glucocorticoids,68115065201,AEROBID,AEROBID AEROSOL WITH ADAPTER,,AEROBID AEROSOL WITH ADAPTER,FLUNISOLIDE,FLUNISOLIDE,AER W/ADAP,,250 MCG,250 mcg,INHALATION,INHALATION,371,3,2709,363,1,840,H,72,B6M,14157,51,,,,
8989,Aminopenicillin Antibiotic - Beta-lactamase Inhibitor Combinations,00029608522,AUGMENTIN,AUGMENTIN 125-31.25 SUSPEN,,AUGMENTIN 125-31.25 SUSPEN,AMOXICILLIN/POTASSIUM CLAV,AMOXICILLIN/POTASSIUM CLAVULANATE,BOTTLE,AUGMENTIN,125-31.25/,125 mg-31.25 mg/5 mL,ORAL,ORAL,2623,7,2549,2621,1,67150,1,3962,W1A,476,22,,,,
