"outcomeCategory","disease","timeWindow","MPCD TNF","MPCD DMARD","MPCD NSAID","MPCD No exposure","Marketscan TNF","Marketscan DMARD","Marketscan NSAID","Marketscan No exposure","Medicare TNF","Medicare DMARD","Medicare NSAID","Medicare No exposure"
"Cancer","Hematologic Cancer","12 months","0.3 (0.1-0.7)","0.2 (0.0-1.0)","0.1 (0.0-0.5)","0.8 (0.4-1.3)","0.1 (0.1-0.3)","0.8 (0.5-1.2)","0.4 (0.3-0.6)","0.8 (0.6-1.0)","0.4 (0.3-0.6)","1.6 (1.3-2.0)","1.5 (1.3-1.7)","2.0 (1.7-2.2)"
"Cancer","Non Melanoma Skin Cancer","12 months","0","0","0","0","0.5 (0.4-0.7)","0.5 (0.3-0.9)","0.9 (0.6-1.2)","0.7 (0.5-1.0)","1.2 (1.0-1.5)","1.3 (1.0-1.6)","1.9 (1.6-2.1)","2.5 (2.3-2.8)"
"Cancer","Solid Cancer","12 months","2.6 (1.8-3.6)","1.5 (0.7-2.8)","2.8 (1.9-4.0)","5.1 (4.1-6.3)","1.8 (1.5-2.1)","4.2 (3.4-5.1)","3.6 (3.1-4.2)","4.3 (3.8-4.9)","5.7 (5.1-6.3)","7.7 (7.0-8.4)","9.1 (8.6-9.6)","11.9 (11.4-12.5)"
"Cardiac disease","Aortic Insufficiency/Aortic Regurgitation","12 months","1.7 (1.1-2.5)","0.6 (0.2-1.7)","0.2 (0.0-0.6)","2.4 (1.8-3.3)","0.8 (0.6-1.1)","0.9 (0.5-1.4)","0.7 (0.5-1.0)","1.8 (1.5-2.2)","2.9 (2.5-3.4)","3.7 (3.2-4.2)","3.8 (3.5-4.1)","6.1 (5.7-6.5)"
"Cardiac disease","Conduction Block","12 months","0.2 (0.1-0.6)","0","0.7 (0.3-1.4)","1.0 (0.6-1.6)","0.7 (0.5-1.0)","1.1 (0.7-1.7)","1.0 (0.7-1.3)","1.9 (1.6-2.3)","2.4 (2.1-2.9)","3.0 (2.5-3.5)","3.3 (3.0-3.6)","5.9 (5.5-6.3)"
"Cardiac disease","Myocardial infarction","12 months","0.3 (0.1-0.7)","0","0.1 (0.0-0.5)","0.8 (0.4-1.3)","0.2 (0.1-0.3)","0.1 (0.0-0.4)","0.4 (0.2-0.6)","0.9 (0.7-1.2)","0.5 (0.3-0.7)","0.9 (0.7-1.2)","0.8 (0.7-1.0)","2.5 (2.3-2.8)"
"Infection","Hospitalized infection","12 months","1.0 (0.6-1.7)","1.2 (0.5-2.6)","0.7 (0.3-1.4)","8.7 (7.4-10.1)","3.5 (3.1-4.0)","4.8 (4.0-5.8)","4.9 (4.3-5.5)","9.1 (8.4-9.9)","9.1 (8.4-9.9)","13.8 (12.9-14.8)","13.3 (12.7-13.9)","24.5 (23.8-25.3)"
"Infection","Opportunistic infection","12 months","1.3 (0.8-2.1)","1.0 (0.4-2.3)","0.5 (0.2-1.1)","1.0 (0.6-1.6)","1.2 (0.9-1.5)","1.5 (1.1-2.1)","0.8 (0.6-1.1)","1.1 (0.8-1.3)","2.7 (2.3-3.2)","2.8 (2.4-3.2)","2.0 (1.7-2.2)","2.6 (2.3-2.8)"
"Inflammatory bowel disease","Crohn’s Disease","12 months","5.8 (4.6-7.2)","4.0 (2.5-6.0)","2.0 (1.3-3.0)","4.3 (3.4-5.3)","5.5 (5.0-6.1)","3.9 (3.1-4.8)","1.8 (1.5-2.2)","3.4 (3.0-3.9)","8.4 (7.7-9.1)","6.6 (5.9-7.3)","3.1 (2.9-3.5)","4.7 (4.3-5.0)"
"Inflammatory bowel disease","Ulcerative Colitis","12 months","3.0 (2.2-4.1)","2.3 (1.2-3.9)","1.1 (0.6-1.9)","2.3 (1.7-3.2)","3.6 (3.2-4.1)","2.6 (2.0-3.3)","1.2 (0.9-1.5)","2.9 (2.5-3.4)","3.9 (3.4-4.4)","3.6 (3.1-4.1)","1.7 (1.5-1.9)","2.5 (2.3-2.8)"
