"outcomeCategory","disease","timeWindow","MPCD AS cohort","Marketscan AS cohort","Medicare AS cohort"
"Cancer","Hematologic Cancer","12 months","0.5 (0.3-0.8)","0.6 (0.4-0.7)","1.6 (1.4-1.7)"
"Cancer","Non Melanoma Skin Cancer","12 months","0","0.6 (0.5-0.8)","1.9 (1.7-2.0)"
"Cancer","Solid Cancer","12 months","4.0 (3.3-4.7)","3.5 (3.2-3.8)","9.8 (9.4-10.2)"
"Cardiac disease","Aortic Insufficiency/Aortic Regurgitation","12 months","1.9 (1.5-2.4)","1.3 (1.1-1.5)","4.9 (4.6-5.2)"
"Cardiac disease","Conduction Block","12 months","0.6 (0.4-1.0)","1.3 (1.1-1.5)","4.5 (4.2-4.8)"
"Cardiac disease","Myocardial infarction","12 months","0.5 (0.3-0.8)","0.6 (0.5-0.7)","1.8 (1.6-2.0)"
"Infection","Hospitalized infection","12 months","5.2 (4.4-6.0)","6.9 (6.5-7.4)","19.4 (18.9-19.9)"
"Infection","Opportunistic infection","12 months","1.1 (0.7-1.5)","1.0 (0.9-1.2)","2.4 (2.2-2.7)"
"Inflammatory bowel disease","Crohn’s Disease","12 months","4.3 (3.6-5.0)","3.6 (3.3-3.9)","4.8 (4.5-5.1)"
"Inflammatory bowel disease","Ulcerative Colitis","12 months","2.5 (2.0-3.1)","2.6 (2.3-2.9)","2.7 (2.5-2.9)"
"Kidney disease","Amyloidosis","12 months","0.0 (0.0-0.2)","0.0 (0.0-0.1)","0.1 (0.0-0.1)"
"Kidney disease","IgA nephropathy","12 months","0.1 (0.0-0.3)","0.1 (0.1-0.2)","0.2 (0.2-0.3)"
"Kidney disease","Nephrotic syndrome","12 months","0.0 (0.0-0.1)","0.0 (0.0-0.1)","0.2 (0.1-0.2)"
"Lung disease","Apical Pulmonary fibrosis","12 months","0.0 (0.0-0.1)","0.0 (0.0-0.1)","0.0 (0.0-0.0)"
"Lung disease","Interstitial lung disease","12 months","0.1 (0.0-0.2)","0.1 (0.1-0.2)","0.7 (0.6-0.8)"
"Lung disease","Restrictive lung disease ","12 months","1.3 (0.9-1.7)","1.4 (1.2-1.6)","3.2 (3.0-3.4)"
"Neurological Disease","Cauda Equina syndrome","12 months","0.1 (0.0-0.3)","0.1 (0.0-0.1)","0.2 (0.2-0.3)"
"Neurological Disease","Spinal Cord compression","12 months","0.2 (0.1-0.4)","0.2 (0.2-0.3)","0.9 (0.7-1.0)"
"Osteoporotic fracture","Clinical vertebral fracture","12 months","2.4 (1.9-3.0)","2.2 (2.0-2.5)","7.3 (7.0-7.7)"
"Osteoporotic fracture","Non-vertebral osteoporotic fracture","12 months","2.9 (2.4-3.6)","1.9 (1.6-2.1)","4.5 (4.2-4.8)"
"PsO/PsA","Psoriasis","12 months","2.5 (2.0-3.1)","2.7 (2.4-3.0)","3.8 (3.5-4.0)"
"PsO/PsA","Psoriatic arthritis","12 months","3.7 (3.0-4.4)","4.1 (3.7-4.4)","5.0 (4.7-5.3)"
"Uveitis","Uveitis","12 months","7.0 (6.2-8.0)","7.6 (7.1-8.1)","4.0 (3.8-4.3)"
