table	fractureType	fractureSite	countDistinctPatid	countFractureEpisodes
DT.fractureEpisodesInc		(7331) pathologic nos/nec	22	25
DT.fractureEpisodesInc		(800-804) skull/face	29	32
DT.fractureEpisodesInc		(807) rib/sternum/trachea	105	115
DT.fractureEpisodesInc		(809) trunk bones	1	1
DT.fractureEpisodesInc		(810) clavicle	29	31
DT.fractureEpisodesInc		(811) scapula	14	16
DT.fractureEpisodesInc		(814) carpal	22	23
DT.fractureEpisodesInc		(815-817) hand/fingers	87	94
DT.fractureEpisodesInc		(818-819) arms mult	3	3
DT.fractureEpisodesInc		(822) patella	15	20
DT.fractureEpisodesInc		(823, 73316) tib_fib	30	36
DT.fractureEpisodesInc		(824) ankle	64	73
DT.fractureEpisodesInc		(825) tarsal_metatarsal	89	95
DT.fractureEpisodesInc		(826) foot_phalanges	53	54
DT.fractureEpisodesInc		(827) lower_limb	2	2
DT.fractureEpisodesInc		(828) legs+arm/rib	2	2
DT.fractureEpisodesInc		(829) fx_nos	17	22
DT.fractureEpisodesInc	Clinical vertebral fracture	(805, 806, 73313) spine	270	375
DT.fractureEpisodesInc	Non-vertebral osteoporotic fracture	(808) pelvis	42	42
DT.fractureEpisodesInc	Non-vertebral osteoporotic fracture	(812, 73311) humerus	56	67
DT.fractureEpisodesInc	Non-vertebral osteoporotic fracture	(813, 73312) radius_ulna	94	104
DT.fractureEpisodesInc	Non-vertebral osteoporotic fracture	(820, 73314) hip	234	297
DT.fractureEpisodesInc	Non-vertebral osteoporotic fracture	(821, 73315) femur	80	95
