table	fractureType	fractureSite	countDistinctPatid	countFractureEpisodes
DT.fractureEpisodesPrevControl		(7331) pathologic nos/nec	26213	29470
DT.fractureEpisodesPrevControl		(800-804) skull/face	36023	38671
DT.fractureEpisodesPrevControl		(807) rib/sternum/trachea	70428	77447
DT.fractureEpisodesPrevControl		(809) trunk bones	918	998
DT.fractureEpisodesPrevControl		(810) clavicle	15745	17264
DT.fractureEpisodesPrevControl		(811) scapula	5364	5690
DT.fractureEpisodesPrevControl		(814) carpal	35375	38001
DT.fractureEpisodesPrevControl		(815-817) hand/fingers	50470	54506
DT.fractureEpisodesPrevControl		(818-819) arms mult	2979	3075
DT.fractureEpisodesPrevControl		(822) patella	36117	41186
DT.fractureEpisodesPrevControl		(823, 73316) tib_fib	46631	54970
DT.fractureEpisodesPrevControl		(824) ankle	65281	78340
DT.fractureEpisodesPrevControl		(825) tarsal_metatarsal	61623	70431
DT.fractureEpisodesPrevControl		(826) foot_phalanges	37725	40425
DT.fractureEpisodesPrevControl		(827) lower_limb	2250	2378
DT.fractureEpisodesPrevControl		(828) legs+arm/rib	674	693
DT.fractureEpisodesPrevControl		(829) fx_nos	114743	135947
DT.fractureEpisodesPrevControl	Clinical vertebral fracture	(805, 806, 73313) spine	122629	174258
DT.fractureEpisodesPrevControl	Non-vertebral osteoporotic fracture	(808) pelvis	35756	40823
DT.fractureEpisodesPrevControl	Non-vertebral osteoporotic fracture	(812, 73311) humerus	60694	75483
DT.fractureEpisodesPrevControl	Non-vertebral osteoporotic fracture	(813, 73312) radius_ulna	83456	99333
DT.fractureEpisodesPrevControl	Non-vertebral osteoporotic fracture	(820, 73314) hip	152775	197266
DT.fractureEpisodesPrevControl	Non-vertebral osteoporotic fracture	(821, 73315) femur	70994	83671
