database,exposure,outcomeCategory,Disease,denomPatid,denomIndexExp,timeWindow,numer,prevPct
MPCD,DMARD,Cardiac disease,Aortic Insufficiency/Aortic Regurgitation,421,481,12 months,5,1.0395010395
MPCD,DMARD,Cardiac disease,Aortic Insufficiency/Aortic Regurgitation,421,481,24 months,6,1.2474012474
MPCD,DMARD,Cardiac disease,Aortic Insufficiency/Aortic Regurgitation,421,481,36 months,7,1.4553014553
MPCD,DMARD,Cardiac disease,Aortic Insufficiency/Aortic Regurgitation,421,481,Prior to index,4,0.8316008316
MPCD,DMARD,Cardiac disease,Conduction Block,421,481,12 months,0,0
MPCD,DMARD,Cardiac disease,Conduction Block,421,481,24 months,0,0
MPCD,DMARD,Cardiac disease,Conduction Block,421,481,36 months,0,0
MPCD,DMARD,Cardiac disease,Conduction Block,421,481,Prior to index,4,0.8316008316
MPCD,DMARD,Inflammatory bowel disease,Crohn’s Disease,421,481,12 months,19,3.9501039501
MPCD,DMARD,Inflammatory bowel disease,Crohn’s Disease,421,481,24 months,21,4.3659043659
MPCD,DMARD,Inflammatory bowel disease,Crohn’s Disease,421,481,36 months,21,4.3659043659
MPCD,DMARD,Inflammatory bowel disease,Crohn’s Disease,421,481,Prior to index,20,4.158004158
MPCD,DMARD,Inflammatory bowel disease,Ulcerative Colitis,421,481,12 months,12,2.4948024948
MPCD,DMARD,Inflammatory bowel disease,Ulcerative Colitis,421,481,24 months,13,2.7027027027
MPCD,DMARD,Inflammatory bowel disease,Ulcerative Colitis,421,481,36 months,13,2.7027027027
MPCD,DMARD,Inflammatory bowel disease,Ulcerative Colitis,421,481,Prior to index,15,3.1185031185
MPCD,DMARD,Kidney disease,IgA nephropathy,421,481,12 months,1,0.2079002079
MPCD,DMARD,Kidney disease,IgA nephropathy,421,481,24 months,1,0.2079002079
MPCD,DMARD,Kidney disease,IgA nephropathy,421,481,36 months,1,0.2079002079
MPCD,DMARD,Kidney disease,IgA nephropathy,421,481,Prior to index,1,0.2079002079
MPCD,DMARD,Kidney disease,Nephrotic syndrome,421,481,12 months,1,0.2079002079
MPCD,DMARD,Kidney disease,Nephrotic syndrome,421,481,24 months,1,0.2079002079
MPCD,DMARD,Kidney disease,Nephrotic syndrome,421,481,36 months,1,0.2079002079
MPCD,DMARD,Kidney disease,Nephrotic syndrome,421,481,Prior to index,0,0
MPCD,DMARD,Lung disease,Restrictive lung disease ,421,481,12 months,2,0.4158004158
MPCD,DMARD,Lung disease,Restrictive lung disease ,421,481,24 months,3,0.6237006237
MPCD,DMARD,Lung disease,Restrictive lung disease ,421,481,36 months,4,0.8316008316
MPCD,DMARD,Lung disease,Restrictive lung disease ,421,481,Prior to index,3,0.6237006237
MPCD,DMARD,PsO/PsA,Psoriasis,421,481,12 months,7,1.4553014553
MPCD,DMARD,PsO/PsA,Psoriasis,421,481,24 months,11,2.2869022869
MPCD,DMARD,PsO/PsA,Psoriasis,421,481,36 months,14,2.9106029106
MPCD,DMARD,PsO/PsA,Psoriasis,421,481,Prior to index,12,2.4948024948
MPCD,DMARD,PsO/PsA,Psoriatic arthritis,421,481,12 months,26,5.4054054054
MPCD,DMARD,PsO/PsA,Psoriatic arthritis,421,481,24 months,30,6.237006237
MPCD,DMARD,PsO/PsA,Psoriatic arthritis,421,481,36 months,31,6.4449064449
MPCD,DMARD,PsO/PsA,Psoriatic arthritis,421,481,Prior to index,23,4.7817047817
MPCD,DMARD,Uveitis,Uveitis,421,481,12 months,35,7.2765072765
MPCD,DMARD,Uveitis,Uveitis,421,481,24 months,40,8.316008316
MPCD,DMARD,Uveitis,Uveitis,421,481,36 months,42,8.7318087318
MPCD,DMARD,Uveitis,Uveitis,421,481,Prior to index,41,8.5239085239
MPCD,NSAID or no exposure,Cardiac disease,Aortic Insufficiency/Aortic Regurgitation,2083,2593,12 months,48,1.8511376784
MPCD,NSAID or no exposure,Cardiac disease,Aortic Insufficiency/Aortic Regurgitation,2083,2593,24 months,64,2.4681835712
MPCD,NSAID or no exposure,Cardiac disease,Aortic Insufficiency/Aortic Regurgitation,2083,2593,36 months,71,2.7381411492
MPCD,NSAID or no exposure,Cardiac disease,Aortic Insufficiency/Aortic Regurgitation,2083,2593,Prior to index,52,2.0053991516
MPCD,NSAID or no exposure,Cardiac disease,Conduction Block,2083,2593,12 months,25,0.9641342075
MPCD,NSAID or no exposure,Cardiac disease,Conduction Block,2083,2593,24 months,32,1.2340917856
MPCD,NSAID or no exposure,Cardiac disease,Conduction Block,2083,2593,36 months,37,1.4269186271
MPCD,NSAID or no exposure,Cardiac disease,Conduction Block,2083,2593,Prior to index,21,0.8098727343
MPCD,NSAID or no exposure,Cardiac disease,Myocardial infarction,2083,2593,12 months,13,0.5013497879
MPCD,NSAID or no exposure,Cardiac disease,Myocardial infarction,2083,2593,24 months,24,0.9255688392
MPCD,NSAID or no exposure,Cardiac disease,Myocardial infarction,2083,2593,36 months,25,0.9641342075
MPCD,NSAID or no exposure,Cardiac disease,Myocardial infarction,2083,2593,Prior to index,12,0.4627844196
MPCD,NSAID or no exposure,Inflammatory bowel disease,Crohn’s Disease,2083,2593,12 months,88,3.3937524103
MPCD,NSAID or no exposure,Inflammatory bowel disease,Crohn’s Disease,2083,2593,24 months,101,3.8951021982
MPCD,NSAID or no exposure,Inflammatory bowel disease,Crohn’s Disease,2083,2593,36 months,108,4.1650597763
MPCD,NSAID or no exposure,Inflammatory bowel disease,Crohn’s Disease,2083,2593,Prior to index,76,2.9309679907
MPCD,NSAID or no exposure,Inflammatory bowel disease,Ulcerative Colitis,2083,2593,12 months,49,1.8897030467
MPCD,NSAID or no exposure,Inflammatory bowel disease,Ulcerative Colitis,2083,2593,24 months,58,2.2367913614
MPCD,NSAID or no exposure,Inflammatory bowel disease,Ulcerative Colitis,2083,2593,36 months,60,2.313922098
MPCD,NSAID or no exposure,Inflammatory bowel disease,Ulcerative Colitis,2083,2593,Prior to index,52,2.0053991516
MPCD,NSAID or no exposure,Kidney disease,Amyloidosis,2083,2593,12 months,1,0.0385653683
MPCD,NSAID or no exposure,Kidney disease,Amyloidosis,2083,2593,24 months,2,0.0771307366
MPCD,NSAID or no exposure,Kidney disease,Amyloidosis,2083,2593,36 months,3,0.1156961049
MPCD,NSAID or no exposure,Kidney disease,Amyloidosis,2083,2593,Prior to index,1,0.0385653683
MPCD,NSAID or no exposure,Kidney disease,IgA nephropathy,2083,2593,12 months,3,0.1156961049
MPCD,NSAID or no exposure,Kidney disease,IgA nephropathy,2083,2593,24 months,6,0.2313922098
MPCD,NSAID or no exposure,Kidney disease,IgA nephropathy,2083,2593,36 months,8,0.3085229464
MPCD,NSAID or no exposure,Kidney disease,IgA nephropathy,2083,2593,Prior to index,2,0.0771307366
MPCD,NSAID or no exposure,Kidney disease,Nephrotic syndrome,2083,2593,12 months,0,0
MPCD,NSAID or no exposure,Kidney disease,Nephrotic syndrome,2083,2593,24 months,1,0.0385653683
MPCD,NSAID or no exposure,Kidney disease,Nephrotic syndrome,2083,2593,36 months,1,0.0385653683
